编号,句子,实体1a,实体1b
2016,今年1月18日，“雪鹰601”成功降落在位于南极冰盖之巅冰穹A地区的昆仑站机场，这也是“雪鹰601”继2017年1月“首降”以来，第三次成功降落在这一海拔4090米的机场。,“雪鹰601”,昆仑站机场
2017,上述极地专家向《环球时报》记者介绍称，南极地区的固定翼飞机的主要用途，一是航空遥感，在飞机上装载传感器，大面积测量冰盖表面地形地貌的变化；二是运输人员和物资设备。不过，由于“雪鹰601”的装载量有限，主要用于航空遥感方面。,“雪鹰601”,航空遥感
2019,《联合早报》称，“雪鹰601”在本次科考期间还执行了中山站至泰山站和昆仑站两个内陆考察站的年度常规后勤保障飞行，进一步积累高海拔区域飞行经验，并为两站运输了相应的补给物资。▲,“雪鹰601”,年度常规后勤保障飞行
2021,【环球时报综合报道】《环球时报》记者13日从国家航天局获悉，11日20时，玉兔二号巡视器再次进入月夜休眠模式，落月后在月面累计行驶共计约120米。嫦娥四号着陆器于同日19时完成月夜设置，进入休眠。,玉兔二号巡视器,月夜休眠模式
2025,【环球时报报道 特约记者 李强 本报记者 郭媛丹】澳大利亚政府与法国船舰制造巨头日前正式签署总金额高达500亿澳元的合同，向后者订购12艘“攻击”级常规动力潜艇。据专家介绍，该型潜艇可以视作是一种“核改常”的超级常规动力潜艇，水下连续续航时间和海上自持力非常高，服役后南海可能成为该型潜艇的重点活动区域，这将加剧地区紧张局势。,澳大利亚政府,“攻击”级常规动力潜艇
2026,《新西兰先驱报》中文网12日报道称，首艘潜艇将于2030年交付。报道称，在2016年4月，法国击败日本和德国，在澳大利亚的潜艇建造招标中中标。同年12月，双方在澳大利亚正式签署军购协议。但由于澳大利亚国内媒体报道潜艇成本过高和生产延迟等负面消息，这项潜艇建造的最终合同被推迟至今。而据俄卫星新闻网报道，该潜艇的首艇将被命名为“攻击”号。,法国,潜艇
2027,中国军事专家李杰13日接受《环球时报》记者采访时表示，澳大利亚从法国采购12艘潜艇的主要原因之一是因为自身“柯林斯”级潜艇老旧、性能差。同时，澳方目前有提升自身海军作战能力的综合需求。,澳大利亚,潜艇
2028,接受《环球时报》记者采访的另一中国军事专家表示，“攻击”级潜艇可以被视为一款“核改常”潜艇。它是以法国新一代“梭鱼”级攻击型核潜艇为蓝本研制的常规动力潜艇，法国向澳大利亚推销时，曾以澳大利亚本土的物种“短鳍梭鱼”命名，后改名为“攻击”级。“梭鱼”级核潜艇的水下排水量超过5000吨，而“攻击”级排水量也高达4500吨，它采用先进流体力学外形和静音效果很好的泵喷主推进器，低速巡航时噪音有望低于核动力的“梭鱼”级，也低于海洋背景噪音。该级潜艇是竞标时所有方案中吨位最大的，也是目前世界上已经确认建造的最大吨位常规动力潜艇。由于使用了不依赖空气推进系统，水下潜航时间超过20天，海上自持力3个月。另外，由于该潜艇设计源于“梭鱼”级核动力潜艇，所以理论上也存在“常改核”的可能，可进一步提高水下续航性能，降低被发现概率。,“攻击”级潜艇,“核改常”潜艇
2029,澳大利亚此次采购的潜艇设计来自法国，而潜艇的武器系统和传感器将由美国防务巨头洛克希德·马丁公司设计和安装。该公司于2018年和澳大利亚签署价值7亿澳元的合同，为澳大利亚未来潜艇项目设计、制造和集成作战系统。据分析，该作战系统可能基于AN/BYG-1作战系统研制，基本武器装备可能包括多型水雷、“鱼叉”反舰导弹、Mk48 Mod7重型鱼雷等。除了常规的反舰导弹、重型鱼雷以外，该潜艇还能装备射程超过1500公里的潜射巡航导弹。巡航导弹的装备，加上潜艇隐蔽性的特点，将极大提高澳大利亚海军的战略威慑能力。由于艇体较大，该艇还可以安装更多的电子监听、侦察装备。届时，该级潜艇将完成反潜、反舰、海上封锁、侦察监视、支援陆上作战和特种作战等任务。,洛克希德·马丁公司,潜艇的武器系统
2030,李杰认为，未来12艘潜艇中可能有4-6艘进入“堪培拉”级准航母编队，配合美国在南海巡航，战时甚至有可能执行封锁战略海峡的任务。,武器装备,多型水雷
2031,一位中国匿名军事专家对《环球时报》记者表示，澳大利亚对亚太市场的依赖决定了南海是澳大利亚海上生命线，澳大利亚在近些年表现出对南海问题格外关注，因此南海或将成为澳大利亚潜艇的重要活动区域。不过，潜艇是进攻性武器，很难用于保护交通线。该专家指出，该级潜艇在南海区域活动，很可能执行情报收集和监视、海上打击、封锁以及支援陆上行动等任务。除了单独执行任务以外，还能与美日海上力量共享情报，甚至围堵中国的水下力量，配合美国海军在南海执行任务。,潜艇,情报收集和监视
2032,李杰认为，澳方此举一方面意在显示自己在印太地区是除印度之外的另一地区大国，因此这些潜艇未来会更多执行独立巡航任务，会较少和美国舰艇组成编队。另一方面，美国也将要求澳大利亚在印太地区扮演更重要的角色。澳大利亚很有可能会参与美国在南海地区组织的联合演习、编队联合巡航等任务。,潜艇,独立巡航任务
2033,《新西兰先驱报》中文网认为，一些评论家对澳法两国的军事合作感到遗憾，因为这无疑将加剧太平洋地区的紧张局势。,澳法两国,军事合作
2034,李杰认为，对于域外国家未来在南海海域的行动，中国应在相关海域增强反潜力量，“我们要进一步组建和训练立体反潜体系，提升岛上、水下和空中的立体反潜力量。一旦他国潜艇进入该地区，我们要有能力有效应对，使得他们的潜艇不敢轻举妄动，确保海上交通线能畅通无阻。”▲,中国,立体反潜体系
2036,【环球网报道 实习记者 任洁】俄总统普京12日在喀山会见社会各界代表时提到了图-160军用超音速轰炸机在喀山进行的升级改造，他表示支持建造国产超音速客机。,图-160军,超音速轰炸机
2037,据俄罗斯《观点报》2月12日报道，普京在与喀山社会各界代表会面时表示，“我们在喀山实施了一个了不起的项目，实际上为武装部队创造了一个新型图-160超音速战略轰炸机。不仅完成了轰炸机本身的制造，还制造了它的武器。一切都像钟表一样精美，很棒。”,俄罗斯,新型图-160超音速战略轰炸机
2040,据报道，目前俄联合航空制造集团公司已开始考虑大型客机项目，或将在该项目上运用战略火箭运载工具同款技术。,俄联合航空制造集团公司,战略火箭运载工具同款技术
2042,【环球网综合报道】微软共同创办人艾伦（Paul Allen）生前所筹组的沉船搜索团队“RV Petrel”履次发现二战名舰，先前在本月4日发现日军战舰“比叡”号，而该团队也宣布已经找到美国传奇航空母舰“大黄蜂号”（USS Hornet，CV-8）的残骸。,沉船搜索团队“RV Petrel”,日军战舰“比叡”号
2043,台媒2月13日称，，“RV Petrel”近来在南太平洋的所罗门群岛一带积极寻找二战沉船，日前他们把目标锁定在航空母舰“大黄蜂号”，“大黄蜂号”是在1942年10月的圣克鲁斯群岛海战（南太平洋海战）中被日军击沉，搜索团队依靠美国海军档案及当时参与海战的其他军舰的行动报告来搜寻大黄蜂号的踪迹。,“RV Petrel”,航空母舰“大黄蜂号”
2044,“RV Petrel”团队拥有一艘长约76米的研究船“海燕号”（Petrel），船上配备可潜入水下6000米深的探测装置。团队称，“海燕号”在进行第一次潜水任务时就发现“大黄蜂号”的残骸，沉船深度接近1万7500英尺（约5334米），正静静地躺在南太平洋深海中。,“RV Petrel”团队,研究船“海燕号”（Petrel）
2045,“大黄蜂号”战功赫赫，其中最为知人所知的就是二战美国首次对日本本土攻击的“杜立德空袭”，当时“大黄蜂号”搭载16架B-25B轰炸机前往轰炸日本，大大提振美国士气。,“大黄蜂号”,16架B-25B轰炸机
2046,随后“大黄蜂号”参与中途岛海战、瓜达康纳尔岛战役等知名战役，最后在1942年10月圣克鲁斯群岛海战被多枚炸弹与鱼雷击中，船员被迫弃船后，“大黄蜂号”随即被日军击沉，同时成为太平洋战争中最后一艘遭日军击沉的大型航母。,“大黄蜂号”,中途岛海战
2048,当地时间2月11日至12日，“和平-19”多国海上联演在巴基斯坦卡拉奇附近海域进行海上阶段实兵演练。各国参演舰艇围绕航行补给、反海盗、主炮对海实弹射击、编队运动、临检拿捕等23个科目展开演练。实兵演练结束后，本次演习落下帷幕。,“和平-19”多国海上联演,巴基斯坦卡拉奇附近海域
2049,“和平-19”多国海上联演于2月8日开幕。海上实兵演练共分两个阶段，11日、12日分别进行第一、二阶段演练。11日上午9时，参演舰艇快速离港后，巴基斯坦海军快艇在航道扮演敌情目标，从参演各舰右舷抵近，模拟快速攻击。,巴基斯坦海军快艇,敌情目标
2050,昆仑山舰雷达报告，发现小目标快速向我舰艇接近。昆仑山舰舰载武器系统立即备便，官兵密切关注快速目标的动向，特战队员于舰艇两舷准备使用重机枪对目标射击。“敌方目标”见无机可乘，转向驶离。,昆仑山舰雷达,“敌方目标”
2052,国际海上阅舰式中，参演舰艇组成单纵队，巴基斯坦总统阿尔维乘坐巴海军“莫温”号补给舰进行检阅。我海军官兵军容严整，在甲板上分区列队接受检阅。最后，参演舰艇组成“和平鸽”队形，航行于印度洋面上，喻示着演习旨在共同维护地区和平。至此，“和平-19”多国海上联演落下帷幕。,巴基斯坦总统阿尔维,“莫温”号补给舰
2053,中国海军998舰艇编队指挥员邵曙光表示，这次联演安排紧凑、活动丰富，加强了我与参演各国海军的相互沟通了解、增进了互信，锻炼了我海军官兵应对多种安全威胁的能力，彰显了我与参演各国致力于共同应对风险挑战，维护印度洋地区海上和平、繁荣、稳定的决心和信心。（薛成清、崔晓洋、王杰）,中国海军998舰艇编队,联演
2056,【环球网军事2月13日报道】据《简氏防务周刊》网站2月11日报道，匈牙利国防部已经批准将其剩余的退役米格-29战斗机进行出售。,匈牙利国防部,米格-29战斗机
2057,这批出售的米格-29战斗机数量为19架，包括已经部分拆除和已经退役不能再使用的战斗机、20台航空发动机和293个战斗机零部件。其中还包含该型战斗机使用的武器。这批装备的初始拍卖价格为28亿福林（约合1000万美元）。不过在拍卖进行前，匈牙利政府必须得到俄罗斯方面的许可。,匈牙利政府,米格-29战斗机
2058,简式网站报道还曾报道称，2017年11月匈牙利也曾拍卖23架米格-29战斗机。当时的起始价格达到48亿匈牙利福林（1800万美元）。与战机一同拍卖的还有20台发动机，导弹和超过1200个备件。,匈牙利,23架米格-29战斗机
2059,俄罗斯于1993年向匈牙利交付了28架米格-29战斗机，以偿还部分债务。不过随后匈牙利决定放弃使用苏/俄制飞机，转而购买了瑞典研制的JAS-39“鹰狮”战斗机。,俄罗斯,28架米格-9战斗机
2061,【环球网军事2月13日报道】俄罗斯卫星通讯社2月12日报道，美国常驻北约代表哈奇森在电话记者会上表示，美国愿意签署一份可取代《中导条约》的新军控条约；但除俄美两国外，当前拥有中程弹道导弹的各国也都应参与缔约。,美国,新军控条约
2065,俄罗斯总统普京2月2日表示，俄方将对美方此举采取对等回应，也暂停履行条约义务。普京指出，俄罗斯不应也不会卷入耗资巨大的军备竞赛。他还说，所有俄方有关裁军问题的提案仍然有效，谈判大门依然敞开，但要求俄外交部和国防部不要再主动提出就此进行谈判。,俄罗斯,军备竞赛
2069,法国驻俄大使西尔维·贝尔曼表示，法国不同意美国总统特朗普的论点，他曾称很快就可能宣布从恐怖分子手中全部夺回此前被占领领土，包括在叙利亚的领土。,美国,被占领领土
2073,美国总统特朗普2018年12月19日发推文称叙境内的恐怖组织“伊斯兰国”已被战胜，美国白宫随后宣布美国开始从叙利亚撤军，但表示战胜叙利亚境内的“伊斯兰国”不意味着国际联军将停止打击该恐怖组织。,美国白宫,撤军
2075,【环球网军事2月13日报道】俄罗斯卫星通讯社2月12日报道，俄罗斯《国防》杂志主编伊戈尔·科罗琴科12日向卫星通讯社表示，俄罗斯“波塞冬”无人潜航器系作为发起反击的战略武器所研发，在俄罗斯联邦遭到核导弹攻击时使用，这是这款武器的唯一用途。,俄罗斯,“波塞冬”无人潜航器
2076,美国《商业内幕》杂志（Business Insider）此前援引多名专家的观点发表文章指出，俄罗斯“波塞冬”无人潜航器的真正目的是瓦解北约。文章认为，俄罗斯最新式鱼雷能够“终结整个大陆”，因此美国就不会再向需要拯救于“莫斯科攻击”的爱沙尼亚伸出援手，随后北约作为军事同盟将不复存在。,俄罗斯“波塞冬”无人潜航器,最新式鱼雷
2078,科罗琴科强调，俄罗斯新型无人潜航器能够在水下1000米的深度抵近目标投放增强型核弹药，属于反击型武器，不追求制止美国援助北约体系内其欧洲盟友的任务。,俄罗斯新型无人潜航器,反击型武器
2079,俄总统普京于2018年3月1日向联邦会议发表年度国情咨文时表示，俄罗斯研发了无人潜航器，能够深水行进，航程跨越大洲，速度数倍于潜艇、最先进的鱼雷和所有类型的水下战舰。普京指出，这种无人潜航器既可以配装常规弹药，也可以配装核弹药，能够摧毁各种类型的目标，其中包括航母战斗群。,俄罗斯,无人潜航器
2081,【环球网军事2月13日报道】俄罗斯卫星通讯社2月12日报道，俄罗斯联邦外交部防扩散和军控问题司司长弗拉基米尔·叶尔马科夫在接受采访时表示，美国发展天基反导防御系统的计划十分危险，将不可避免地导致空间军备竞赛。,美国,天基反导防御系统
2082,美国五角大楼最新版反导防御报告中指出，美国“将不用再忍受改进反导防御问题受到的限制”，并将重审在太空部署反导防御系统的问题。叶尔马科夫对此评论称，“任何放弃反导防御限制的路线都不是什么新事物”。,美国,反导防御系统
2084,叶尔马科夫称，除了完善已经部署到轨道上的传感器外，五角大楼的报告“实际上为在太空部署反导防御系统攻击单元开辟了道路。实施这些计划不可避免地会引发空间军备竞赛，对国际安全和战略稳定造成极为不利的影响。”,五角大楼,反导防御系统攻击单元
2085,美国国防部1月17日公布的反导报告中称，该国打算研制能够在导弹各飞行阶段将其击落的拦截系统。文件称，美国反导系统应兼有用以遏制威胁的防御和攻击能力，并具有在导弹发射后各飞行阶段对其进行拦截的积极能力。报告指出，美国五代机F-35闪电II（ Lightning II）已经可以击落巡航导弹，将来其可以装备能够在敌人弹道导弹起飞阶段将其击落的新拦截武器。报告还称，五角大楼2020年将测试用于拦截洲际弹道导弹的SM-3防空导弹。,美国国防部,拦截系统
2094,“首先我想说的是，外空是全人类共同的财产，并不是哪一家，特别是美国一家的私有财产。” 在12日中国外交部例行记者会上，发言人华春莹在回应外媒记者有关美国国防情报局报告的提问时表示：“我们注意到美国国防情报局的报告对中国、俄罗斯等有关国家的航天政策妄加评论，有关说法完全没有依据”。华春莹说，近一段时间以来，我们确实看到外空安全领域出现了一些消极动向。尤其令人警惕和关注的是，美国将外空定性为“作战疆域”，宣布组建独立的“外空部队”，不断开展外空作战演习。这些行为导致外空武器化、战场化危险日益成为现实。,美国,“外空部队”
2095,“太空冷战回来了。”德国新闻电视台12日称，迄今为止，美国在浩瀚的太空中并没遇到对手。但近年来，由于中国在太空中的崛起，以及俄罗斯逐渐回归，正在改变美国独霸太空的现状。就在上月，美国政府表示，将致力于在太空中扩充军备，考虑在太空中部署导弹防御系统的战略。特朗普上台后一直强调，太空是一个新的战场。观察家们因此担心世界将发生新一轮太空军备竞赛。这意味着，一旦美国与中俄未来在太空中发生冲突，将引发一场从太空到地面的全面战争，整个人类将会处于混乱和灾难之中。,美国政府,导弹防御系统
2097,俄卫星新闻网称，1966年联合国大会通过《外层空间条约》，禁止向太空部署大规模杀伤性武器，包括美国、俄罗斯（苏联）、中国在内的100多个国家在该条约上签了字。这一协议禁止在太空中部署大规模杀伤性武器，但并不限制其他武器。此后，俄罗斯和中国在联合国裁军大会上多次提出“防止在外太空部署一切武器以及使用武力威胁”条约草案，目的就是保证外太空没有武器，对所有国家开放太空和平研究，但这一提案一直受到美国的阻挠，这不禁令人怀疑，华盛顿真正渴望的是获得在太空中部署武器的完全自由，而不是对和平利用太空感兴趣。,联合国大会,大规模杀伤性武器
2103,在这份报告中，五角大楼还发明了一个新词：“太空自由”。这份报告称，“中俄正在开发对太空行动自由构成威胁的系统”。中国“已经具有了反卫星导弹的技术”，并且“可能已将可攻击美国航天器的激光武器加以完善”，“有能力袭击美国的太空资产”。俄罗斯也在努力完善这些技术，俄太空武器的焦点主要放在了定向能武器上，通常是激光或高功率微波器。它们“能够瘫痪甚至摧毁太空中的美国资产”。报告警告，“俄中这类能够摧毁太空目标的武器系统很可能在未来几年内投入使用”。NBC引述国防情报局官员的话称，“美国需要立即摆好姿态应对这些挑战，否则就可能失去太空优势”，“除非采取正确姿态，否则我们将处于危险之中”。当被问及“美国是否正在和俄罗斯、中国进行太空竞赛”时，这名官员称：“我们当然认为这是一场竞赛。”,中国,反卫星导弹的技术
2106,特朗普上台后，一直积极推动和组建“太空军”。特朗普曾称“太空军将让美国拥有压倒中国及其他对手的优势”。国际舆论担忧美国此举将把核武器等大规模杀伤性武器带入太空，是给人类带来灾难的“星球大战2.0版”。,特朗普,“太空军”
2107,面对国内和国际舆论的巨大压力，美国不断出台各种报告，渲染俄中“给美国的太空系统带来前所未有的新危险”。今年1月，美国国防部接连发布三个报告，均与太空相关。五角大楼最新的《国家情报战略》报告，称俄中都在追求“全方位的反卫星武器，这可能削弱美国的太空情报搜集能力”。《全球威胁评估报告》中也把俄中的太空能力作为指责的目标。1月17日，五角大楼发布自2010年以来的首份《导弹防御评估报告》，宣称将“考虑在太空部署反导防御系统”，包括“在太空配置拦截系统和部署激光卫星武器”。,五角大楼,拦截系统
2111,空间态势感知是进行任何航天活动的基础。在《太空安全面临的挑战》关于中俄反太空能力的章节中，都首先谈到了空间态势感知能力。该报告认为，中俄两国拥有强大的空间监视传感器网络，能搜索、跟踪和识别地球轨道上的所有卫星。这种监视网由各种望远镜、雷达和其他传感器组成，可以执行包括情报收集、反空间目标、弹道导弹预警、航天安全、卫星异常解决方案和空间碎片监测在内的众多任务。,中俄两国,空间监视传感器网络
2112,该报告认为，中俄已拥有一定的定向能反卫星手段。“中国可能正在寻求用激光武器来破坏、瘫痪或损坏卫星及其传感器，并且可能已经具有有限的利用激光系统对抗卫星传感器的能力。到2020年，可以对抗低轨道空间传感器的地基激光武器可能会投入使用，到本世纪20年代中后期，中国可能会发展功率更高的系统，将威胁扩展到非光学卫星的结构”。而俄罗斯“也可能正在寻求用激光武器来破坏、瘫痪或损坏卫星及其传感器”。报告称，在2018年7月之前，俄航空航天部队就开始装备可能用于执行反卫星任务的激光武器系统。俄总统普京在公开声明中称其为“新型战术武器”，俄罗斯国防部声称它能够“对抗轨道上的卫星”。俄罗斯也正在开发一种空基反卫星激光武器系统，用于打击天基导弹防御系统的传感器。,俄罗斯,空基反卫星激光武器系统
2113,除了充满噱头的激光武器外，该报告重点介绍了各种“可能威胁美军”的反卫星武器。首先是传统的地基反卫星导弹，它们可以从地面基地发射，攻击运行在近地轨道的卫星。例如“俄罗斯可能正在开发一种能摧毁近地轨道空间目标和弹道导弹的地基机动导弹系统，这种武器系统很可能在未来几年内投入使用”。该报告还宣称，“中国可能在研制更强大的反卫星武器，能摧毁运行在地球同步轨道的卫星”。,俄罗斯,地基机动导弹系统
2117,报告认为，俄军将电子战视为获得和维持信息优势的重要工具，使俄罗斯能够通过破坏对手的指挥、控制、通信和情报能力来完成行动。俄罗斯已经部署了各种地面电子战系统来对抗美军基于卫星系统的GPS、战术通信、卫星通信和雷达。俄罗斯致力于开发和实施全方位的电子战能力，以便在2020年之前对抗西方的指挥通信和武器制导系统。此外报告认为，从2010年以来，俄罗斯军方一直优先发展网络作战能力，以确保信息优势。俄罗斯认为信息领域具有“战略决策性”，并已采取措施使其军队的信息攻防组织和能力现代化。,俄罗斯,地面电子战系统
2121,【环球时报综合报道】澳大利亚国防部与法国海军造船集团11日正式签订12艘常规潜艇的采购合同，终于敲定这个堪称澳大利亚史上最昂贵的军购项目。尽管该项目历经磨难，仅谈判时间就长达两年，但澳大利亚仍为此充满期待。,澳大利亚国防部,12艘常规潜艇
2122,路透社11日称，整个潜艇采购项目金额高达500亿澳元（约合355亿美元、2400亿元人民币）。为体现对这个超级军购项目的重视，澳大利亚总理莫里森、防长佩恩和法国防长帕利齐聚堪培拉参加项目签字仪式。莫里森形容这是一项“非常大胆的计划”，也是“澳大利亚最大笔的和平时期防卫投资”。新潜艇服役后，将替换澳海军现役6艘“柯林斯”级常规潜艇。后者尽管服役时间并不算长，但各种故障不断，常年停泊在港口处于“半瘫痪”状态。,澳海军,6艘“柯林斯”级常规潜艇
2123,美国《防务新闻》11日称，澳大利亚这次采购的常规潜艇以法国“梭子鱼”级核潜艇为蓝本，满载排水量高达4000吨。正是凭借大吨位带来的大航程、大续航力乃至可携带更多的燃料和弹药等优势，2016年法国的这一潜艇设计击败日本和德国，获得澳大利亚军方的青睐。但法国人没能笑逐颜开，因为澳媒体不断曝出法国潜艇成本失控和生产延迟等问题，导致最终合同的签署被推迟。更糟糕的是，2016年8月，法国为印度制造的“鲉鱼”级常规潜艇超过两万多页的设计方案遭泄露，涉及潜艇诸多核心机密。这引起了澳大利亚的担忧。再加上澳海军坚持下一代潜艇必须采用美国AN/BYG-1作战系统以及BGM109“战斧”潜射巡航导弹，而美国对泄密风险极为敏感，坚持法国必须修改潜艇技术轮廓，并签署相关保密协定，使得潜艇谈判难上加难。,澳大利亚,法国“梭子鱼”级核潜艇
2124,不管怎样，澳法潜艇项目终于上路。按计划，该潜艇的第一艘将于本世纪30年代初交付，最后一艘则在50年代交付。对于12艘潜艇的使用，澳大利亚基于印度洋-太平洋双重大国的定位，将海洋安全特别是海上航线控制权视为国家安全战略基石，一方面要维护其地缘政治和经济利益，另一方面加强与美国及其他国家的海洋安全合作关系，进而谋求海洋大国的地位。这12艘新型远洋潜艇将构成澳大利亚在印度洋与太平洋两个方向进行远洋作战的水下舰队，主要执行反潜、反舰、对地攻击和情报搜集等任务，必要时还可支援特种作战。,12艘新型远洋潜艇,水下舰队
2125,澳大利亚广播公司网站特别提到，确定作为新潜艇母港的斯特林海军基地拥有南半球最完备的海军训练与维护设施。美国亚洲中心主任戈登·弗拉克表示：“从中远期来看，斯特林基地将成为西澳防务的中枢，增强澳大利亚在亚洲尤其是在东南亚地区的影响力，改变东南亚地区政治格局，打破东南亚地区军事平衡。”更耐人寻味的是，澳大利亚潜艇曾充当过美国刺探中国沿海情报的“马前卒”。《澳大利亚人报》2013年就披露，1992年在美国海军的指派下，一艘澳大利亚潜艇曾试图偷偷潜入中国上海附近，结果被渔网缠住，险些被发现。▲ （田 聿）,澳大利亚潜艇,中国上海附近
2127,【环球时报综合报道】美军“斯普鲁恩斯”号和“普雷贝尔”号导弹驱逐舰11日擅自进入中国南沙群岛仁爱礁和美济礁邻近海域，遭到解放军南部战区部队的警告驱离。美国《海军时报》《空军时报》11日披露，在这两艘美舰“硬闯南海”的同时，美军在南海周边还有很多动作。,美军“斯普鲁恩斯”号和“普雷贝尔”号导弹驱逐舰,中国南沙群岛仁爱礁和美济礁邻近海域
2129,《海军时报》称，“南海又送走了繁忙的一周”。报道称，1月26日至2月6日，美海军陆战队F-35B隐形战机在菲律宾附近海域的“黄蜂”号两栖攻击舰上起降，进行全挂载武器的“里程碑式飞行训练”。报道称，虽然训练海域位于南海以东，但该演练证明了美国军事力量在南海地区的持续存在，“中国通常反对美国在该地区的军事存在”。参训的F-35B投掷了500磅重的GBU-12“宝石路II”激光制导炸弹和1000磅重的GBU-32“联合直接攻击弹药”。F-35B在“黄蜂”号上垂直降落之前，还与扮演假想敌的靶机进行了模拟交战并将其击落。美海军陆战队第31远征队指挥官罗伯特·布罗迪上校称，训练显示美军“杀伤力和两栖能力得到增强”。,美海军陆战队F-35B隐形战机,“黄蜂”号两栖攻击舰
